Date,Store_ID,Product_Category,Price,Discount,Advertising_Spend,Holiday,Temperature,Competitor_Price,Units_Sold
2022-01-01,S09,Electronics,321.52,0,3733.6,0,16.9,298.34,50
2022-01-02,S01,Sports,297.29,0,246.01,0,16.1,297.61,31
2022-01-03,S03,Furniture,103.42,25,3536.49,0,21.7,102.37,15
2022-01-04,S07,Electronics,173.42,5,1155.04,0,31.4,159.62,35
2022-01-05,S07,Electronics,182.69,10,3058.26,0,32.6,191.08,17
2022-01-06,S02,Electronics,278.26,25,3130.75,0,34.1,282.56,12
2022-01-07,S06,Clothing,332.33,10,4927.59,0,33.9,356.69,35
2022-01-08,S02,Sports,188.24,5,3383.86,0,29.7,195.15,40
2022-01-09,S09,Clothing,319.31,20,3672.72,0,14.6,311.61,30
2022-01-10,S05,Electronics,343.88,0,1222.34,0,10.9,331.19,30
2022-01-11,S08,Clothing,109.44,20,4394.2,0,18.8,112.84,18
2022-01-12,S07,Sports,136.12,5,3750.45,0,25.1,142.84,45
2022-01-13,S03,Clothing,202.7,5,4986.9,0,13.9,202.44,45
2022-01-14,S08,Sports,397.08,15,3022.4,0,20.8,404.7,15
2022-01-15,S05,Groceries,129.45,20,4317.82,0,10.3,135.16,24
2022-01-16,S05,Sports,60.22,15,874.97,0,10.1,62.89,8
2022-01-17,S03,Groceries,382.17,20,4571.88,0,34.4,366.76,23
2022-01-18,S10,Groceries,382.44,20,4772.15,0,35.8,414.45,23
2022-01-19,S10,Electronics,246.86,0,4652.58,0,34.6,263.23,47
2022-01-20,S03,Clothing,47.4,15,4098.51,0,37.4,47.71,32
2022-01-21,S04,Groceries,331.58,20,909.12,0,24.8,338.65,20
2022-01-22,S02,Clothing,202.5,25,3284.4,0,22.3,203.21,13
2022-01-23,S01,Clothing,116.23,10,203.07,0,25.5,118.29,23
2022-01-24,S08,Clothing,38.36,0,4312.21,0,12.0,36.35,46
2022-01-25,S04,Electronics,271.92,25,4684.02,0,26.0,270.43,25
2022-01-26,S01,Electronics,52.98,15,1836.06,0,21.5,56.84,10
2022-01-27,S07,Clothing,35.0,25,1762.58,0,34.1,33.24,10
2022-01-28,S09,Electronics,142.88,5,4384.98,0,12.1,151.68,47
2022-01-29,S08,Furniture,30.04,20,4196.54,0,37.1,32.6,27
2022-01-30,S07,Groceries,110.8,15,4521.97,0,14.6,99.77,30
